00000000,00000000
00000000,00000002
00000000,00000006
00000001,00000000
00000002,00000000
00000003,00000000
00000004,00000000
00000004,00000002
00000005,00000000
00000006,00000000
00000006,00000002
00000006,00000003
00000006,00000005
00000007,00000000
00000008,00000000
00000009,00000000
0000000a,00000000
0000000a,00000004
0000000a,00000005
0000000a,00000006
0000000b,00000000
0000000c,00000000
0000000c,00000002
0000000c,00000006
0000000d,00000000
0000000e,00000000
0000000e,00000002
0000000e,00000008
0000000f,00000000
0000000f,00000002
0000000f,00000006
0000000f,00000008
00000010,00000001
00000011,00000001
00000012,00000001
00000013,00000001
00000014,00000001
00000015,00000001
00000016,00000001
00000017,00000001
00000018,00000001
00000019,00000001
0000001a,00000001
0000001b,00000001
0000001c,00000001
0000001d,00000001
0000001e,00000001
0000001f,00000001
0000001f,00000003
00000020,00000001
00000021,00000001
00000022,00000002
00000023,00000002
00000024,00000002
00000025,00000002
00000026,00000002
00000027,00000002
00000027,00000007
00000027,00000008
00000028,00000002
00000029,00000002
0000002a,00000002
0000002a,00000008
0000002b,00000002
0000002c,00000003
0000002d,00000003
0000002d,00000007
0000002e,00000003
0000002f,00000003
00000030,00000003
00000030,00000005
00000031,00000003
00000032,00000003
00000033,00000003
00000034,00000003
00000035,00000003
00000036,00000003
00000037,00000003
00000038,00000003
00000038,00000005
00000039,00000004
0000003a,00000004
0000003a,00000007
0000003b,00000004
0000003c,00000004
0000003d,00000004
0000003e,00000004
0000003f,00000004
00000040,00000004
00000041,00000004
00000042,00000004
00000043,00000004
00000044,00000004
00000045,00000004
00000046,00000004
00000047,00000004
00000048,00000005
00000049,00000005
0000004a,00000005
0000004b,00000005
0000004c,00000005
0000004d,00000005
0000004e,00000005
0000004f,00000005
00000050,00000005
00000051,00000005
00000052,00000005
00000053,00000005
00000054,00000006
00000055,00000006
00000056,00000006
00000057,00000006
00000058,00000006
00000059,00000006
0000005a,00000006
0000005b,00000006
0000005c,00000006
0000005c,00000008
0000005d,00000006
0000005e,00000006
0000005f,00000006
00000060,00000006
00000061,00000006
00000062,00000006
00000063,00000007
00000064,00000007
00000065,00000007
00000066,00000007
00000067,00000007
00000068,00000007
00000068,00000008
00000069,00000007
0000006a,00000007
0000006b,00000007
0000006c,00000007
0000006d,00000007
0000006e,00000007
0000006f,00000007
00000070,00000007
00000070,00000008
00000071,00000007
00000072,00000007
00000073,00000007
00000074,00000007
00000075,00000007
00000076,00000007
00000077,00000007
00000078,00000007
00000079,00000007
0000007a,00000007
0000007b,00000007
0000007c,00000007
0000007d,00000007
0000007e,00000007
0000007f,00000008
00000080,00000008
00000081,00000008
00000082,00000008
00000083,00000008
00000084,00000008
00000085,00000008
00000086,00000008
00000087,00000008
00000088,00000008
00000089,00000008
0000008a,00000008
0000008b,00000008
0000008c,00000008
0000008d,00000008
0000008e,00000008
0000008f,00000008
00000090,00000008
00000091,00000008
00000092,00000008
00000093,00000008
00000094,00000008
00000095,00000008
00000096,00000008
00000097,00000008
00000098,00000008
00000099,00000008
0000009a,00000008
