word_id,doc_ids...
00000000,00000000,00000002,00000006
00000001,00000000
00000002,00000000
00000003,00000000
00000004,00000000,00000002
00000005,00000000
00000006,00000000,00000002,00000003,00000005
00000007,00000000
00000008,00000000
00000009,00000000
0000000A,00000000,00000004,00000005,00000006
0000000B,00000000
0000000C,00000000,00000002,00000006
0000000D,00000000
0000000E,00000000,00000002
0000000F,00000000,00000002,00000006
00000010,00000001
00000011,00000001
00000012,00000001
00000013,00000001
00000014,00000001
00000015,00000001
00000016,00000001
00000017,00000001
00000018,00000001
00000019,00000001
0000001A,00000001
0000001B,00000001
0000001C,00000001
0000001D,00000001
0000001E,00000001
0000001F,00000001,00000003
00000020,00000001
00000021,00000001
00000022,00000002
00000023,00000002
00000024,00000002
00000025,00000002
00000026,00000002
00000027,00000002
00000028,00000002
00000029,00000002
0000002A,00000002
0000002B,00000002
0000002C,00000003
0000002D,00000003
0000002E,00000003
0000002F,00000003
00000030,00000003,00000005
00000031,00000003
00000032,00000003
00000033,00000003
00000034,00000003
00000035,00000003
00000036,00000003
00000037,00000003
00000038,00000003,00000005
00000039,00000004
0000003A,00000004
0000003B,00000004
0000003C,00000004
0000003D,00000004
0000003E,00000004
0000003F,00000004
00000040,00000004
00000041,00000004
00000042,00000004
00000043,00000004
00000044,00000004
00000045,00000004
00000046,00000004
00000047,00000004
00000048,00000005
00000049,00000005
0000004A,00000005
0000004B,00000005
0000004C,00000005
0000004D,00000005
0000004E,00000005
0000004F,00000005
00000050,00000005
00000051,00000005
00000052,00000005
00000053,00000005
00000054,00000006
00000055,00000006
00000056,00000006
00000057,00000006
00000058,00000006
00000059,00000006
0000005A,00000006
0000005B,00000006
0000005C,00000006
0000005D,00000006
0000005E,00000006
0000005F,00000006
00000060,00000006
00000061,00000006
00000062,00000006
